OVINS DE BOUCHERIE
COTATIONS NATIONALES ET REGIONALES DES AGNEAUX ET BREBIS DE BOUCHERIE POUR LES ETATS D'ENGRAISSEMENT 2, 3 ET 4
EN EURO
SEMAINE N° 15 DU 07/04/2025 AU 13/04/2025

Prix "entrée abattoir" HT exprimé en EURO/Kg de carcasse (cinquième quartier inclus) frais de transport inclus
AGNEAUX
ETAT ENGRAISSEMENT;CONFORMATION;ZONE NORD;;;;ZONE SUD;;;;MOYENNES REGIONS
;;13 A 16 KG;16 A 19 KG;19 A 22 KG;+ de 22 KG;13 A 16 KG;16 A 19 KG;19 A 22 KG;+ de 22 KG;13 A 16 KG;16 A 19 KG;19 A 22 KG;+ de 22 KG
2 (CIRÉ);U;;12,49;12,49;11,20;;;;;;12,47;12,48;11,20
2 (CIRÉ);U;;0,38;0,46;0,08;;;;;;0,38;0,46;0,09
2 (CIRÉ);R;11,73;11,97;11,71;10,98;;11,10;10,90;;11,52;11,74;11,56;10,97
2 (CIRÉ);R;;0,33;0,40;;;0,35;;;0,19;0,35;0,39;
2 (CIRÉ);O;10,34;10,90;;;10,31;10,30;;;10,32;10,58;10,55;
2 (CIRÉ);O;;0,56;;;0,06;0,26;;;-0,01;0,37;0,57;
3 (COUVERT);U;;12,29;12,31;11,17;;;11,54;10,69;;12,19;12,12;10,99
3 (COUVERT);U;;0,22;0,37;0,36;;;0,43;0,40;;0,20;0,35;0,35
3 (COUVERT);R;;11,54;11,30;10,29;11,03;11,02;10,74;10,23;11,15;11,13;10,90;10,26
3 (COUVERT);R;;0,30;0,47;0,28;0,16;0,23;0,34;0,40;0,20;0,23;0,36;0,33
3 (COUVERT);O;10,52;10,42;10,30;9,85;10,56;10,27;9,95;9,32;10,55;10,33;10,10;9,48
3 (COUVERT);O;0,10;0,21;0,23;0,35;-0,03;0,06;0,07;0;0;0,12;0,14;0,12
4 (GRAS);U;;;;;;;;;;;;
4 (GRAS);U;;;;;;;;;;;;
4 (GRAS);R;;;;;;10,57;10,27;;;10,55;10,26;9,47
4 (GRAS);R;;;;;;0,10;0,11;;;0,10;0,12;0,25
4 (GRAS);O;;;;;;;9,32;;;9,74;9,28;
4 (GRAS);O;;;;;;;0,07;;;0,09;0,15;
BREBIS
ETAT ENGRAISSEMENT;CONFORMATION;ZONE NORD;;ZONE SUD;;MOYENNES REGIONS
;;- de 30 KG;+ de 30 KG;- de 30 KG;+ de 30 KG;- de 30 KG;+ de 30 KG
2 (CIRÉ);U;;;;;;
2 (CIRÉ);U;;;;;;
2 (CIRÉ);R;;;;;;
2 (CIRÉ);R;;;;;;
2 (CIRÉ);O;;;;;;
2 (CIRÉ);O;;;;;;
3 (COUVERT);U;;;;;;
3 (COUVERT);U;;;;;;
3 (COUVERT);R;;;;;;
3 (COUVERT);R;;;;;;
3 (COUVERT);O;;;;;;
3 (COUVERT);O;;;;;;
4 (GRAS);U;;;;;;
4 (GRAS);U;;;;;;
4 (GRAS);R;;;;;;
4 (GRAS);R;;;;;;
4 (GRAS);O;;;;;;
4 (GRAS);O;;;;;;


1;ZONE NORD;ACTIVITÉ NORMALEMENT SOUTENUE POUR CETTE SEMAINE DES RAMEAUX, POURSUITE DE LA HAUSSE.;
2;ZONE SUD;APPLICATION DU RÉSEAU.;
