OVINS DE BOUCHERIE
COTATIONS NATIONALES ET REGIONALES DES AGNEAUX ET BREBIS DE BOUCHERIE POUR LES ETATS D'ENGRAISSEMENT 2, 3 ET 4
EN EURO
SEMAINE N° 11 DU 09/03/2026 AU 15/03/2026

Prix "entrée abattoir" HT exprimé en EURO/Kg de carcasse (cinquième quartier inclus) frais de transport inclus
AGNEAUX
ETAT ENGRAISSEMENT;CONFORMATION;ZONE NORD;;;;ZONE SUD;;;;MOYENNES REGIONS
;;13 A 16 KG;16 A 19 KG;19 A 22 KG;+ de 22 KG;13 A 16 KG;16 A 19 KG;19 A 22 KG;+ de 22 KG;13 A 16 KG;16 A 19 KG;19 A 22 KG;+ de 22 KG
2 (CIRÉ);U;;11,29;11,17;10,22;;;;;;11,28;11,17;10,21
2 (CIRÉ);U;;0,24;0,17;0,10;;;;;;0,23;0,17;0,09
2 (CIRÉ);R;;10,86;10,71;;;10,80;;;10,78;10,83;10,69;
2 (CIRÉ);R;;0,30;0,30;;;0,27;;;;0,28;0,31;
2 (CIRÉ);O;;;;;9,90;9,59;;;9,81;9,63;9,51;
2 (CIRÉ);O;;;;;0,25;0,19;;;0,22;0,16;0,12;
3 (COUVERT);U;;11,32;11,22;10,23;;;10,86;10,09;;11,26;11,14;10,18
3 (COUVERT);U;;0,20;0,16;0,14;;;0,17;0,13;;0,21;0,22;0,15
3 (COUVERT);R;;10,57;10,44;9,78;10,66;10,54;10,11;9,48;10,66;10,54;10,21;9,66
3 (COUVERT);R;;0,16;0,09;0,09;0,21;0,15;0,12;0,05;0,21;0,15;0,13;0,11
3 (COUVERT);O;9,72;9,75;9,63;8,92;10,16;9,61;9,39;8,98;10,05;9,66;9,49;8,95
3 (COUVERT);O;0,50;0,27;0,20;0,08;0,15;0,18;0,23;0,22;0,16;0,22;0,25;0,16
4 (GRAS);U;;;;;;;;;;;;
4 (GRAS);U;;;;;;;;;;;;
4 (GRAS);R;;;;;;10,24;9,95;;;10,22;9,83;
4 (GRAS);R;;;;;;0,17;0,20;;;0,16;0,16;
4 (GRAS);O;;;;;;;8,93;;;9,16;8,73;
4 (GRAS);O;;;;;;;;;;0,13;;
BREBIS
ETAT ENGRAISSEMENT;CONFORMATION;ZONE NORD;;ZONE SUD;;MOYENNES REGIONS
;;- de 30 KG;+ de 30 KG;- de 30 KG;+ de 30 KG;- de 30 KG;+ de 30 KG
2 (CIRÉ);U;;;;;;
2 (CIRÉ);U;;;;;;
2 (CIRÉ);R;;;;;;
2 (CIRÉ);R;;;;;;
2 (CIRÉ);O;;;;;;
2 (CIRÉ);O;;;;;;
3 (COUVERT);U;;;;;;
3 (COUVERT);U;;;;;;
3 (COUVERT);R;;;;;;
3 (COUVERT);R;;;;;;
3 (COUVERT);O;;;;;;
3 (COUVERT);O;;;;;;
4 (GRAS);U;;;;;;
4 (GRAS);U;;;;;;
4 (GRAS);R;;;;;;
4 (GRAS);R;;;;;;
4 (GRAS);O;;;;;;
4 (GRAS);O;;;;;;


1;ZONE NORD;NOUVELLE PROGRESSION DES VOLUMES ET DES COURS EN PRÉVISION DES FÊTES PASCALES.;
2;ZONE SUD;APPLICATION DU RÉSEAU.;
