CAPRINS
COTATIONS NATIONALES DU CHEVREAU VIFS
EN EURO
SEMAINE N° 7 DU 09/02/2026 AU 15/02/2026

PRIX départ élevage HORS TAXE EXPRIME EN EURO/KG VIF

POIDS;PRIX MOY;VAR.;VAR. %;Commentaire
8 à 11 kg;3,71;-0,01;-0,27;
