CAPRINS
COTATIONS NATIONALES DU CHEVREAU VIFS
EN EURO
SEMAINE N° 14 DU 03/04/2023 AU 09/04/2023

PRIX départ élevage HORS TAXE EXPRIME EN EURO/KG VIF

POIDS;PRIX MOY;VAR.;VAR. %;Commentaire
8 à 11 kg;3,90;0;0;RECONDUCTION DES COURS.
