CAPRINS;;;;
COTATIONS NATIONALES DU CHEVREAU VIFS;;;;
EN EURO;;;;
SEMAINE N° 16 DU 13/04/2026 AU 19/04/2026;;;;
;;;;
PRIX départ élevage HORS TAXE EXPRIME EN EURO/KG VIF;;;;
;;;;
POIDS;PRIX MOY;VAR.;VAR. %;Commentaire
8 à 11 kg;3,63;-0,02;-0,55;VOLUME IMPORTANT, MARCHÉ DE CONGÉLATION.
;;;;
Arrêt définitif des abattages de caprins sur l'un des 3 opérateurs. Restructuration de la filière.;;;;
Interruption de la cotation à partir de la semaine 17.;;;;
