PORC CHARCUTIER
COTATIONS REGIONALES ET NATIONALES DES PORCS CHARCUTIERS
EN EURO
SEMAINE N° 14 DU 27/03/2026 AU 02/04/2026

COTATION EN EURO/KG DE CARCASSE

;REGIONS;;SIEGE DE LA COMMISSION
;;;;;;CLASSE E;;CLASSE S
;;;;;;semaine n;variation;semaine n;variation
1;BRETAGNE;101;RENNES;10;PORC CHARCUTIER;1,56;0;1,64;0;
2;HAUTE ET BASSE NORMANDIE, PAYS DE LOIRE, POITOU-CHARENTES, CENTRE;105;NANTES;10;PORC CHARCUTIER;1,62;0,01;1,67;0;
3;NORD-PAS DE CALAIS,PICARDIE, ILE DE FRANCE, LORRAINE,ALSACE, CHAMPAGNE-ARDENNES;20;LILLE;10;PORC CHARCUTIER;1,57;0;1,64;-0,01;
4;BOURGOGNE,FRANCHE-COMTE, RHONE-ALPES, PROVENCE-ALPES COTE D'AZUR,CORSE;68;LYON;10;PORC CHARCUTIER;1,70;-0,01;1,71;0;
5;MIDI-PYRENEES, AQUITAINE LANGUEDOC-ROUSSILLON, AUVERGNE,LIMOUSIN;69;TOULOUSE;10;PORC CHARCUTIER;1,59;-0,02;1,66;0,01;
;;;;REFERENCE NATIONALE;;1,59;0;1,65;0
