annee,semaine,mois,date_debut,date_fin,categorie,prix,variation,unite,source
2023,5,,2023-01-30,2023-02-05,ELEVES AU PIS,9.64,0.13,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S05.csv
2023,5,,2023-01-30,2023-02-05,PRIX MOYEN PONDERE AU 100KILO NET (NON ÉLEVÉS AU PIS),703.2,-3,EUR/100 kg net,COT-VRO-veaux_bouch_non_pis-A23-S05.csv
2023,5,,2023-01-30,2023-02-05,PRIX MOYEN PONDERE AU 100KILO NET (ÉLEVÉS AU PIS),963.5,12.1,EUR/100 kg net,COT-VRO-veaux_bouch_pis-A23-S05.csv
2023,5,,2023-01-30,2023-02-05,PRIX MOYEN PONDERE AUX 100 KG VIF,709.5,-4.6,EUR/100 kg vif,COT-VRO-veaux_bouch_synthese-A23-S05.csv
2023,5,,2023-01-30,2023-02-05,PRIX MOYEN PONDERE AUX 100 KG NET DES VEAUX CLAIRS,773,-2.8,EUR/100 kg net,COT-VRO-veaux_bouch_synthese-A23-S05.csv
2023,6,,2023-02-06,2023-02-12,ENTREE ABATTOIR,7.21,0.11,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S06.csv
2023,6,,2023-02-06,2023-02-12,NON ELEVES AU PIS,7.15,0.12,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S06.csv
2023,6,,2023-02-06,2023-02-12,ELEVES AU PIS,9.22,-0.42,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S06.csv
2023,6,,2023-02-06,2023-02-12,PRIX MOYEN PONDERE AU 100KILO NET (NON ÉLEVÉS AU PIS),714.8,11.6,EUR/100 kg net,COT-VRO-veaux_bouch_non_pis-A23-S06.csv
2023,6,,2023-02-06,2023-02-12,PRIX MOYEN PONDERE AU 100KILO NET (ÉLEVÉS AU PIS),922.3,-41.2,EUR/100 kg net,COT-VRO-veaux_bouch_pis-A23-S06.csv
2023,6,,2023-02-06,2023-02-12,PRIX MOYEN PONDERE AUX 100 KG VIF,720.8,11.3,EUR/100 kg vif,COT-VRO-veaux_bouch_synthese-A23-S06.csv
2023,6,,2023-02-06,2023-02-12,PRIX MOYEN PONDERE AUX 100 KG NET DES VEAUX CLAIRS,775.2,2.2,EUR/100 kg net,COT-VRO-veaux_bouch_synthese-A23-S06.csv
2023,7,,2023-02-13,2023-02-19,ENTREE ABATTOIR,7.22,0.01,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S07.csv
2023,7,,2023-02-13,2023-02-19,NON ELEVES AU PIS,7.18,0.03,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S07.csv
2023,7,,2023-02-13,2023-02-19,ELEVES AU PIS,9.68,0.46,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S07.csv
2023,7,,2023-02-13,2023-02-19,PRIX MOYEN PONDERE AU 100KILO NET (NON ÉLEVÉS AU PIS),718.2,3.4,EUR/100 kg net,COT-VRO-veaux_bouch_non_pis-A23-S07.csv
2023,7,,2023-02-13,2023-02-19,PRIX MOYEN PONDERE AU 100KILO NET (ÉLEVÉS AU PIS),967.9,45.6,EUR/100 kg net,COT-VRO-veaux_bouch_pis-A23-S07.csv
2023,7,,2023-02-13,2023-02-19,PRIX MOYEN PONDERE AUX 100 KG VIF,722.1,1.3,EUR/100 kg vif,COT-VRO-veaux_bouch_synthese-A23-S07.csv
2023,7,,2023-02-13,2023-02-19,PRIX MOYEN PONDERE AUX 100 KG NET DES VEAUX CLAIRS,773.2,-2,EUR/100 kg net,COT-VRO-veaux_bouch_synthese-A23-S07.csv
2023,8,,2023-02-20,2023-02-26,ENTREE ABATTOIR,7.19,-0.03,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S08.csv
2023,8,,2023-02-20,2023-02-26,NON ELEVES AU PIS,7.14,-0.04,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S08.csv
2023,8,,2023-02-20,2023-02-26,ELEVES AU PIS,9.47,-0.21,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S08.csv
2023,8,,2023-02-20,2023-02-26,PRIX MOYEN PONDERE AU 100KILO NET (NON ÉLEVÉS AU PIS),714.1,-4.1,EUR/100 kg net,COT-VRO-veaux_bouch_non_pis-A23-S08.csv
2023,8,,2023-02-20,2023-02-26,PRIX MOYEN PONDERE AU 100KILO NET (ÉLEVÉS AU PIS),946.9,-21,EUR/100 kg net,COT-VRO-veaux_bouch_pis-A23-S08.csv
2023,8,,2023-02-20,2023-02-26,PRIX MOYEN PONDERE AUX 100 KG VIF,718.7,-3.4,EUR/100 kg vif,COT-VRO-veaux_bouch_synthese-A23-S08.csv
2023,8,,2023-02-20,2023-02-26,PRIX MOYEN PONDERE AUX 100 KG NET DES VEAUX CLAIRS,773.2,0,EUR/100 kg net,COT-VRO-veaux_bouch_synthese-A23-S08.csv
2023,9,,2023-02-27,2023-03-05,ENTREE ABATTOIR,7.17,-0.02,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S09.csv
2023,9,,2023-02-27,2023-03-05,NON ELEVES AU PIS,7.12,-0.02,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S09.csv
2023,9,,2023-02-27,2023-03-05,ELEVES AU PIS,9.32,-0.15,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S09.csv
2023,9,,2023-02-27,2023-03-05,PRIX MOYEN PONDERE AU 100KILO NET (NON ÉLEVÉS AU PIS),712,-2.1,EUR/100 kg net,COT-VRO-veaux_bouch_non_pis-A23-S09.csv
2023,9,,2023-02-27,2023-03-05,PRIX MOYEN PONDERE AU 100KILO NET (ÉLEVÉS AU PIS),932.1,-14.8,EUR/100 kg net,COT-VRO-veaux_bouch_pis-A23-S09.csv
2023,9,,2023-02-27,2023-03-05,PRIX MOYEN PONDERE AUX 100 KG VIF,716.9,-1.8,EUR/100 kg vif,COT-VRO-veaux_bouch_synthese-A23-S09.csv
2023,9,,2023-02-27,2023-03-05,PRIX MOYEN PONDERE AUX 100 KG NET DES VEAUX CLAIRS,770,-3.2,EUR/100 kg net,COT-VRO-veaux_bouch_synthese-A23-S09.csv
2023,10,,2023-03-06,2023-03-12,ENTREE ABATTOIR,7.2,0.03,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S10.csv
2023,10,,2023-03-06,2023-03-12,NON ELEVES AU PIS,7.12,0,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S10.csv
2023,10,,2023-03-06,2023-03-12,ELEVES AU PIS,9.49,0.17,EUR/kg carcasse,COT-VRO-veaux_PMP-A23-S10.csv
2023,10,,2023-03-06,2023-03-12,PRIX MOYEN PONDERE AU 100KILO NET (NON ÉLEVÉS AU PIS),711.6,-0.4,EUR/100 kg net,COT-VRO-veaux_bouch_non_pis-A23-S10.csv
