annee,semaine,mois,date_debut,date_fin,categorie,prix,variation,unite,source
2023,17,,2023-04-24,2023-04-30,MOYENNE AGNEAUX METROPOLE RUNGIS,9.15,-0.2,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S17.csv
2023,18,,2023-05-01,2023-05-07,P.M.P AGNEAUX,8.36,-0.11,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S18.csv
2023,18,,2023-05-01,2023-05-07,MOYENNE AGNEAUX METROPOLE RUNGIS,9.11,-0.04,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S18.csv
2023,19,,2023-05-08,2023-05-14,P.M.P AGNEAUX,8.29,-0.07,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S19.csv
2023,19,,2023-05-08,2023-05-14,MOYENNE AGNEAUX METROPOLE RUNGIS,9.11,0,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S19.csv
2023,20,,2023-05-15,2023-05-21,P.M.P AGNEAUX,8.29,0,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S20.csv
2023,20,,2023-05-15,2023-05-21,MOYENNE AGNEAUX METROPOLE RUNGIS,9.11,0,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S20.csv
2023,21,,2023-05-22,2023-05-28,P.M.P AGNEAUX,8.24,-0.05,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S21.csv
2023,21,,2023-05-22,2023-05-28,MOYENNE AGNEAUX METROPOLE RUNGIS,9.11,0,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S21.csv
2023,22,,2023-05-29,2023-06-04,P.M.P AGNEAUX,8.19,-0.05,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S22.csv
2023,22,,2023-05-29,2023-06-04,MOYENNE AGNEAUX METROPOLE RUNGIS,9.14,0.03,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S22.csv
2023,23,,2023-06-05,2023-06-11,P.M.P AGNEAUX,8.18,-0.01,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S23.csv
2023,23,,2023-06-05,2023-06-11,MOYENNE AGNEAUX METROPOLE RUNGIS,9.19,0.05,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S23.csv
2023,24,,2023-06-12,2023-06-18,P.M.P AGNEAUX,8.19,0.01,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S24.csv
2023,24,,2023-06-12,2023-06-18,MOYENNE AGNEAUX METROPOLE RUNGIS,9.19,0,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S24.csv
2023,25,,2023-06-19,2023-06-25,P.M.P AGNEAUX,8.15,-0.04,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S25.csv
2023,25,,2023-06-19,2023-06-25,MOYENNE AGNEAUX METROPOLE RUNGIS,9.15,-0.04,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S25.csv
2023,26,,2023-06-26,2023-07-02,P.M.P AGNEAUX,8.27,0.12,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S26.csv
2023,26,,2023-06-26,2023-07-02,MOYENNE AGNEAUX METROPOLE RUNGIS,9.15,0,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S26.csv
2023,27,,2023-07-03,2023-07-09,P.M.P AGNEAUX,8.21,-0.06,EUR/kg carcasse,COT-VRO-ovins_PMP-A23-S27.csv
