annee,semaine,mois,date_debut,date_fin,mode,region,couleur,conformation,unite,prix,variation,source
2023,2,,2023-01-09,2023-01-15,Non élevés au pis,SUD,ROSE,R,EUR/kg carcasse,6.72,0,COT-VRO-veaux_bouch_non_pis-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Non élevés au pis,SUD,ROSE,O,EUR/kg carcasse,6.4,0.01,COT-VRO-veaux_bouch_non_pis-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Non élevés au pis,SUD,ROSE,P,EUR/kg carcasse,5.87,-0.01,COT-VRO-veaux_bouch_non_pis-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Non élevés au pis,COTATION NATIONALE,ROSE TRES CLAIR,R,EUR/kg carcasse,7.99,0.04,COT-VRO-veaux_bouch_non_pis-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Non élevés au pis,COTATION NATIONALE,ROSE TRES CLAIR,O,EUR/kg carcasse,7.29,-0.01,COT-VRO-veaux_bouch_non_pis-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Non élevés au pis,COTATION NATIONALE,ROSE TRES CLAIR,P,EUR/kg carcasse,6.77,0.18,COT-VRO-veaux_bouch_non_pis-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Non élevés au pis,COTATION NATIONALE,ROSE CLAIR,U,EUR/kg carcasse,8.51,0.03,COT-VRO-veaux_bouch_non_pis-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Non élevés au pis,COTATION NATIONALE,ROSE CLAIR,R,EUR/kg carcasse,7.81,0.02,COT-VRO-veaux_bouch_non_pis-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Non élevés au pis,COTATION NATIONALE,ROSE CLAIR,O,EUR/kg carcasse,7.46,0,COT-VRO-veaux_bouch_non_pis-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Non élevés au pis,COTATION NATIONALE,ROSE CLAIR,P,EUR/kg carcasse,6.55,0,COT-VRO-veaux_bouch_non_pis-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Non élevés au pis,COTATION NATIONALE,ROSE,U,EUR/kg carcasse,6.09,0.39,COT-VRO-veaux_bouch_non_pis-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Non élevés au pis,COTATION NATIONALE,ROSE,R,EUR/kg carcasse,5.82,-0.28,COT-VRO-veaux_bouch_non_pis-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Non élevés au pis,COTATION NATIONALE,ROSE,O,EUR/kg carcasse,5.63,0.08,COT-VRO-veaux_bouch_non_pis-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Non élevés au pis,COTATION NATIONALE,ROSE,P,EUR/kg carcasse,5.22,0.11,COT-VRO-veaux_bouch_non_pis-A23-S02.csv
2023,2,,2023-01-09,2023-01-15,Élevés au pis,SUD,ROSE TRES CLAIR,E,EUR/kg carcasse,10.73,0.13,COT-VRO-veaux_bouch_pis-A23-S02.csv
