annee,semaine,mois,date_debut,date_fin,categorie,sexe,poids,prix,variation,unite,source
2023,7,,2023-02-13,2023-02-19,Engraissement laitier (assez bonne conformation),Mâle,< 45 kg,65,1,EUR/tête,COT-VRO-veaux14j_synthese-A23-S07.csv
2023,7,,2023-02-13,2023-02-19,Engraissement laitier (assez bonne conformation),Mâle,45 A 50 kg,85,1,EUR/tête,COT-VRO-veaux14j_synthese-A23-S07.csv
2023,7,,2023-02-13,2023-02-19,Engraissement laitier (assez bonne conformation),Mâle,50 A 60 kg,109,2,EUR/tête,COT-VRO-veaux14j_synthese-A23-S07.csv
2023,7,,2023-02-13,2023-02-19,"Prix moyen pondéré (0,3 élevage + 0,7 engraissement)",Mâle,,140,2,EUR/tête,COT-VRO-veaux14j_synthese-A23-S07.csv
2023,8,,2023-02-20,2023-02-26,Élevage supérieur,Mâle,,225,4,EUR/tête,COT-VRO-veaux14j_synthese-A23-S08.csv
2023,8,,2023-02-20,2023-02-26,Élevage supérieur,Femelle,,187,1,EUR/tête,COT-VRO-veaux14j_synthese-A23-S08.csv
2023,8,,2023-02-20,2023-02-26,Engraissement laitier (assez bonne conformation),Mâle,< 45 kg,61,-4,EUR/tête,COT-VRO-veaux14j_synthese-A23-S08.csv
2023,8,,2023-02-20,2023-02-26,Engraissement laitier (assez bonne conformation),Mâle,45 A 50 kg,87,2,EUR/tête,COT-VRO-veaux14j_synthese-A23-S08.csv
2023,8,,2023-02-20,2023-02-26,Engraissement laitier (assez bonne conformation),Mâle,50 A 60 kg,110,1,EUR/tête,COT-VRO-veaux14j_synthese-A23-S08.csv
2023,8,,2023-02-20,2023-02-26,"Prix moyen pondéré (0,3 élevage + 0,7 engraissement)",Mâle,,142,2,EUR/tête,COT-VRO-veaux14j_synthese-A23-S08.csv
2023,9,,2023-02-27,2023-03-05,Élevage supérieur,Mâle,,225,0,EUR/tête,COT-VRO-veaux14j_synthese-A23-S09.csv
2023,9,,2023-02-27,2023-03-05,Élevage supérieur,Femelle,,190,3,EUR/tête,COT-VRO-veaux14j_synthese-A23-S09.csv
2023,9,,2023-02-27,2023-03-05,Engraissement laitier (assez bonne conformation),Mâle,< 45 kg,63,2,EUR/tête,COT-VRO-veaux14j_synthese-A23-S09.csv
2023,9,,2023-02-27,2023-03-05,Engraissement laitier (assez bonne conformation),Mâle,45 A 50 kg,87,0,EUR/tête,COT-VRO-veaux14j_synthese-A23-S09.csv
2023,9,,2023-02-27,2023-03-05,Engraissement laitier (assez bonne conformation),Mâle,50 A 60 kg,111,1,EUR/tête,COT-VRO-veaux14j_synthese-A23-S09.csv
2023,9,,2023-02-27,2023-03-05,"Prix moyen pondéré (0,3 élevage + 0,7 engraissement)",Mâle,,142,0,EUR/tête,COT-VRO-veaux14j_synthese-A23-S09.csv
2023,10,,2023-03-06,2023-03-12,Élevage supérieur,Mâle,,227,2,EUR/tête,COT-VRO-veaux14j_synthese-A23-S10.csv
2023,10,,2023-03-06,2023-03-12,Élevage supérieur,Femelle,,191,1,EUR/tête,COT-VRO-veaux14j_synthese-A23-S10.csv
