GROS BOVINS MAIGRES
COTATIONS DES BOVINS DESTINES A L'ENGRAISSEMENT
EN EURO
SEMAINE N° 25 DU 15/06/2026 AU 21/06/2026

EN EURO/KG VIF
RACES;;;LIMOUSINS;;;;CHAROLAIS;;;;;;;CROISES;;;;;;;BLOND D'AQUITAINE;;;;;;SALERS;;;;;;;AUBRAC/GASCONS
;;SEXE;M;M;M;F;M;M;M;M;M;F;F;M;M;M;M;M;F;F;M;M;M;M;F;F;M;M;M;M;M;F;F;M;M;M;M;M;F;F
;;AGE (mois);*6/12;*6/12;*6/12;*6/12;*6/12;*6/12;*6/12;*12/24;*12/24;*6/12;*12/24;*6/12;*6/12;*6/12;*12/24;*12/24;*6/12;*12/24;*6/12;*6/12;*6/12;*12/24;*6/12;*12/24;*6/12;*6/12;*6/12;*12/24;*12/24;*6/12;*12/24;*6/12;*6/12;*6/12;*12/24;*12/24;*6/12;*12/24
LIMOGES;MALGRÉ UN MARCHÉ PLUS CHARGÉ EN JEUNES BOVINS, LES COURS DES BROUTARDS SONT RECONDUITS.;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LIMOGES;MALGRÉ UN MARCHÉ PLUS CHARGÉ EN JEUNES BOVINS, LES COURS DES BROUTARDS SONT RECONDUITS.;Var.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LIMOGES;MALGRÉ UN MARCHÉ PLUS CHARGÉ EN JEUNES BOVINS, LES COURS DES BROUTARDS SONT RECONDUITS.;U;5,90;5,85;5,45;5,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LIMOGES;MALGRÉ UN MARCHÉ PLUS CHARGÉ EN JEUNES BOVINS, LES COURS DES BROUTARDS SONT RECONDUITS.;Var.;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LIMOGES;MALGRÉ UN MARCHÉ PLUS CHARGÉ EN JEUNES BOVINS, LES COURS DES BROUTARDS SONT RECONDUITS.;R;5,45;5,50;5,10;5,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LIMOGES;MALGRÉ UN MARCHÉ PLUS CHARGÉ EN JEUNES BOVINS, LES COURS DES BROUTARDS SONT RECONDUITS.;Var.;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LIMOGES;MALGRÉ UN MARCHÉ PLUS CHARGÉ EN JEUNES BOVINS, LES COURS DES BROUTARDS SONT RECONDUITS.;tonnage;250,00;300,00;350,00;270,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLERMONT-FERRAND;MARCHÉ FLUIDE, COURS RECONDUITS.;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLERMONT-FERRAND;MARCHÉ FLUIDE, COURS RECONDUITS.;Var.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLERMONT-FERRAND;MARCHÉ FLUIDE, COURS RECONDUITS.;U;;;;;;;;;;;;5,60;5,40;5,20;;;5,20;;;;;;;;;;;;;;;;5,40;5,25;;;;;
CLERMONT-FERRAND;MARCHÉ FLUIDE, COURS RECONDUITS.;Var.;;;;;;;;;;;;0;0;0;;;0;;;;;;;;;;;;;;;;0;0;;;;;
CLERMONT-FERRAND;MARCHÉ FLUIDE, COURS RECONDUITS.;R;;;;;;;;;;;;5,40;5,25;5,05;;;5,10;;;;;;;;4,40;4,30;4,25;;;;;;5,20;5,10;;;;;
CLERMONT-FERRAND;MARCHÉ FLUIDE, COURS RECONDUITS.;Var.;;;;;;;;;;;;0;0;0;;;0;;;;;;;;0;0;0;;;;;;0;0;;;;;
CLERMONT-FERRAND;MARCHÉ FLUIDE, COURS RECONDUITS.;tonnage;;;;;;;;;;;;300,00;350,00;400,00;450,00;500,00;320,00;;;;;;;;300,00;350,00;400,00;450,00;500,00;320,00;400,00;300,00;350,00;400,00;450,00;;;;
DIJON;COURS RECONDUITS JUSQU'À 450 KG. PEU DE COMMERCE, EFFET SAISONNIER.;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIJON;COURS RECONDUITS JUSQU'À 450 KG. PEU DE COMMERCE, EFFET SAISONNIER.;Var.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIJON;COURS RECONDUITS JUSQU'À 450 KG. PEU DE COMMERCE, EFFET SAISONNIER.;U;;;;;5,67;5,47;5,33;5,10;4,72;5,35;4,95;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIJON;COURS RECONDUITS JUSQU'À 450 KG. PEU DE COMMERCE, EFFET SAISONNIER.;Var.;;;;;0;0;0;-0,03;-0,06;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIJON;COURS RECONDUITS JUSQU'À 450 KG. PEU DE COMMERCE, EFFET SAISONNIER.;R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIJON;COURS RECONDUITS JUSQU'À 450 KG. PEU DE COMMERCE, EFFET SAISONNIER.;Var.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIJON;COURS RECONDUITS JUSQU'À 450 KG. PEU DE COMMERCE, EFFET SAISONNIER.;tonnage;;;;;300,00;350,00;400,00;450,00;500,00;270,00;400,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TOULOUSE;APPORTS FAIBLES EN RAISON DES TRAVAUX SAISONNIERS, COURS RECONDUITS.;E;6,30;5,95;5,70;5,40;;;;;;;;;6,10;;;;;;6,90;6,60;;;5,85;;;;;;;;;;;;;;;;
TOULOUSE;APPORTS FAIBLES EN RAISON DES TRAVAUX SAISONNIERS, COURS RECONDUITS.;Var.;0;0;0;0;;;;;;;;;0;;;;;;0;0;;;0;;;;;;;;;;;;;;;;
TOULOUSE;APPORTS FAIBLES EN RAISON DES TRAVAUX SAISONNIERS, COURS RECONDUITS.;U;6,20;5,70;5,45;5,30;;;;;;;;6,10;5,60;5,20;4,95;4,85;5,20;5,20;6,65;6,40;;;5,80;;;;;;;;;5,90;5,30;5,05;;;;;
TOULOUSE;APPORTS FAIBLES EN RAISON DES TRAVAUX SAISONNIERS, COURS RECONDUITS.;Var.;0;0;0;0;;;;;;;;0;0;0;0;0;0;0;0;0;;;0;;;;;;;;;0;0;0;;;;;
