PETITS VEAUX
COTATION DES VEAUX DE 14 JOURS A 4 SEMAINES
EN EURO
SEMAINE N° 27 DU 29/06/2026 AU 05/07/2026

MARCHES;;EFFECTIFS;VARIATION;TENDANCE
AGEN;01/07/2026 00:00:00;222;71;BAISSE DES COURS EN HOLSTEIN.;
CADRAN D'ARMOR;30/06/2026 00:00:00;400;42;OFFRE PLUS IMPORTANTE.;
CHATEAUBRIANT;01/07/2026 00:00:00;363;149;TRANSACTIONS SÉLECTIVES AVEC DES TARIFS REVUS À LA BAISSE. PRÉSENTATION IMPORTANTE DE MOINDRE QUALITÉ LIÉE À LA CHALEUR.;
CHATEAUGONTIER;02/07/2026 00:00:00;609;130;BAISSE GÉNÉRALE DES COURS TOUTES CATÉGORIES CONFONDUES, PLUS MARQUÉE DANS LES RACES ALLAITANTES ET LES CROISÉS.;
LAMBALLE;30/06/2026 00:00:00;306;68;TARIFS EN FORTE BAISSE DANS TOUTES LES CATÉGORIES, ENTRE 80 ET 100 €.;
LEZAY;30/06/2026 00:00:00;1184;167;POURSUITE DE LA BAISSE DANS TOUTES LES CATÉGORIES. COMMERCE PLUS DIFFICILE DANS LES QUALITÉS INFÉRIEURES.;
TOTAL;;3084;627;;


MOYENNES NATIONALES (EN EURO /tête)
(Les prix sont ceux constatés sur le foirail, les poids s'entendent rendus foirail)

SUPERIEUR/ELEVAGE
(EN EURO/Tête);      ;VAR.
MALES;479;-47
FEMELLES;416;-38


ENGRAISSEMENT;ASSEZ BONNE CONFORMATION
(EN EURO/Tête)
RACES LAITIERES MALES;;;;;;RACES LAITIERES FEMELLES
< 45 kg;VAR.;45 A 50 kg;VAR.;50 A 60 kg;VAR.;< 45 kg;VAR.;45 A 50 kg;VAR.;50 A 60 kg;VAR.
157;-31;222;-29;269;-29


PRIX MOYEN PONDERE DES VEAUX MALES DE 14 JOURS A 4 SEMAINES
; en EURO/Tête;variation
0.3 x veau d'élevage (A) + 0.7 x veau d'engraissement (B);306,00;-36,00
