PETITS VEAUX
COTATION DES VEAUX DE 14 JOURS A 4 SEMAINES SUR LES MARCHES DE REFERENCE
EN EURO
SEMAINE N° 5 DU 26/01/2026 AU 01/02/2026

EN EURO/Tête
;RACES;SEXE;CONFORMATION;AGEN;ARMO;BOUR;CHAB;CHAG;LAMB;LEZA;TALA;;;MOYENNE NATIONALE;variation
;;;POIDS
VEAUX;RACES À VIANDE;MALE;E;780,00;;;;;;830,00;;;;818,87;2,23;Réouverture du marché de Bourg-en-Bresse.;LIMOUSINS
VEAUX;Limousins;MALE;U;670,00;;;870,00;;;730,00;;;;735,76;4,44;Réouverture du marché de Bourg-en-Bresse.;LIMOUSINS
VEAUX;ou;MALE;R;500,00;;;770,00;;;500,00;;;;533,67;4,44;Réouverture du marché de Bourg-en-Bresse.;LIMOUSINS
VEAUX;Blonds;MALE;O;;;;;;;;;;;;;Réouverture du marché de Bourg-en-Bresse.;LIMOUSINS
VEAUX;;FEMELLE;E;690,00;;;;;;750,00;;;;735,90;2,36;Réouverture du marché de Bourg-en-Bresse.;LIMOUSINS
VEAUX;;FEMELLE;U;595,00;;;800,00;;;680,00;;;;680,86;4,98;Réouverture du marché de Bourg-en-Bresse.;LIMOUSINS
VEAUX;;FEMELLE;R;415,00;;;670,00;;;460,00;;;;482,26;4,98;Réouverture du marché de Bourg-en-Bresse.;LIMOUSINS
VEAUX;;FEMELLE;O;;;;;;;;;;;;;Réouverture du marché de Bourg-en-Bresse.;LIMOUSINS
VEAUX;RACES À VIANDE;MALE;E;;;;;;;580,00;;;;580,00;0;Réouverture du marché de Bourg-en-Bresse.;CHAROLAIS
VEAUX;Charolais;MALE;U;;;;770,00;;;550,00;;;;632,81;13,77;Réouverture du marché de Bourg-en-Bresse.;CHAROLAIS
VEAUX;ou;MALE;R;;;;670,00;;;420,00;;;;514,10;20,00;Réouverture du marché de Bourg-en-Bresse.;CHAROLAIS
VEAUX;Blanc Bleu;MALE;O;;;;;;;300,00;;;;300,00;10,00;Réouverture du marché de Bourg-en-Bresse.;CHAROLAIS
VEAUX;;FEMELLE;E;;;;;;;530,00;;;;530,00;0;Réouverture du marché de Bourg-en-Bresse.;CHAROLAIS
VEAUX;;FEMELLE;U;;;;710,00;;;470,00;;;;554,96;13,54;Réouverture du marché de Bourg-en-Bresse.;CHAROLAIS
VEAUX;;FEMELLE;R;;;;520,00;;;400,00;;;;442,48;20,00;Réouverture du marché de Bourg-en-Bresse.;CHAROLAIS
VEAUX;;FEMELLE;O;;;;;;;270,00;;;;270,00;10,00;Réouverture du marché de Bourg-en-Bresse.;CHAROLAIS
VEAUX;CROISÉS;MALE;E;;;;;;;580,00;;;;580,00;0;Réouverture du marché de Bourg-en-Bresse.;CROISE VIANDE
VEAUX;RACES À VIANDE;MALE;U;;;;670,00;640,00;;540,00;;;;583,71;8,21;Réouverture du marché de Bourg-en-Bresse.;CROISE VIANDE
VEAUX;Mère race à viande X;MALE;R;;;;540,00;500,00;;420,00;;;;459,10;21,01;Réouverture du marché de Bourg-en-Bresse.;CROISE VIANDE
VEAUX;mâle race à viande;MALE;O;;;;370,00;390,00;;300,00;;;;327,19;14,61;Réouverture du marché de Bourg-en-Bresse.;CROISE VIANDE
VEAUX;;FEMELLE;E;;;;;;;530,00;;;;530,00;0;Réouverture du marché de Bourg-en-Bresse.;CROISE VIANDE
VEAUX;;FEMELLE;U;;;;570,00;580,00;;470,00;;;;517,53;9,88;Réouverture du marché de Bourg-en-Bresse.;CROISE VIANDE
VEAUX;;FEMELLE;R;;;;470,00;450,00;;400,00;;;;432,00;20,47;Réouverture du marché de Bourg-en-Bresse.;CROISE VIANDE
VEAUX;;FEMELLE;O;;;;330,00;340,00;;270,00;;;;298,71;15,18;Réouverture du marché de Bourg-en-Bresse.;CROISE VIANDE
VEAUX;CROISÉS MIXTES;MALE;U;500,00;;650,00;620,00;640,00;;510,00;;;;605,55;69,31;Réouverture du marché de Bourg-en-Bresse.;CROISE MIXTE
VEAUX;Mère race mixte X;MALE;R;325,00;;515,00;470,00;500,00;;430,00;;;;478,31;59,94;Réouverture du marché de Bourg-en-Bresse.;CROISE MIXTE
VEAUX;mâle race à viande;MALE;O;225,00;;400,00;310,00;390,00;;290,00;;;;356,39;68,30;Réouverture du marché de Bourg-en-Bresse.;CROISE MIXTE
VEAUX;ou;MALE;P;;;;;;;;;;;;;Réouverture du marché de Bourg-en-Bresse.;CROISE MIXTE
VEAUX;Mère race mixte X;FEMELLE;U;435,00;;505,00;540,00;580,00;;460,00;;;;510,09;15,04;Réouverture du marché de Bourg-en-Bresse.;CROISE MIXTE
VEAUX;mâle race mixte;FEMELLE;R;260,00;;405,00;400,00;450,00;;360,00;;;;396,25;26,27;Réouverture du marché de Bourg-en-Bresse.;CROISE MIXTE
VEAUX;;FEMELLE;O;215,00;;310,00;260,00;340,00;;260,00;;;;297,47;29,33;Réouverture du marché de Bourg-en-Bresse.;CROISE MIXTE
VEAUX;;FEMELLE;P;;;;;;;;;;;;;Réouverture du marché de Bourg-en-Bresse.;CROISE MIXTE
VEAUX;CROISÉS LAITIERS;MALE;R;315,00;670,00;;370,00;390,00;810,00;360,00;;;;456,58;38,65;Réouverture du marché de Bourg-en-Bresse.;CROISE LAITIER
VEAUX;Mère race laitière X;MALE;O;205,00;480,00;;280,00;310,00;421,00;260,00;;;;311,93;24,24;Réouverture du marché de Bourg-en-Bresse.;CROISE LAITIER
VEAUX;mâle race à viande;MALE;P;;;;210,00;230,00;173,00;;;;;207,12;27,94;Réouverture du marché de Bourg-en-Bresse.;CROISE LAITIER
VEAUX;ou;FEMELLE;R;245,00;570,00;;320,00;340,00;613,00;320,00;;;;383,24;29,20;Réouverture du marché de Bourg-en-Bresse.;CROISE LAITIER
