GROS BOVINS STANDARDS
COTATIONS REGIONALES DES GROS BOVINS ENTREE ABATTOIR STANDARDS
EN EURO
SEMAINE N° 16 DU 13/04/2026 AU 19/04/2026

EN EURO/KG NET, frais de transport inclus

;;;Jeunes bovins 12 à 24 mois;;;;Taureaux;Boeufs;;;Vaches;;;;;;Génisses;;
;;;Viande hors Bl/Parth.;Blonde/Parth.;Mixte;Lait;VML;Viande;Mixte;Lait;Viande hors Bl/Parth. -10 a +350kg;Blonde/Parth. -10 ans +350Kg;Charolaise -10 ans +350Kg;Limousine -10 ans +350Kg;Mixte;Lait;Viande +350Kg;Mixte Lait;;
NORD-EST;E;Cot;;;;;;;;;;;;;;;;;
NORD-EST;E;Var;;;;;;;;;;;;;;;;;
NORD-EST;U+;Cot;;;;;;;;;;;;;;;;;
NORD-EST;U+;Var;;;;;;;;;;;;;;;;;
NORD-EST;U=;Cot;7,48;7,81;;;;;;;;;;;;;;;
NORD-EST;U=;Var;-0,09;-0,06;;;;;;;;;;;;;;;
NORD-EST;U-;Cot;7,43;;;;;;;;;;;;;;8,02;;
NORD-EST;U-;Var;-0,09;;;;;;;;;;;;;;-0,03;;
NORD-EST;R+;Cot;7,42;;;;;;;;7,62;;7,54;;;;7,75;;
NORD-EST;R+;Var;-0,06;;;;;;;;-0,02;;;;;;-0,03;;
NORD-EST;R=;Cot;7,30;;;;;;;;7,52;;7,49;;;;7,54;;
NORD-EST;R=;Var;-0,08;;;;;;;;-0,06;;;;;;-0,09;;
NORD-EST;R-;Cot;;;;;;;;;;;;;;;;;
NORD-EST;R-;Var;;;;;;;;;;;;;;;;;
NORD-EST;O+;Cot;;;;;;;;;;;;;;;;;
NORD-EST;O+;Var;;;;;;;;;;;;;;;;;
NORD-EST;O=;Cot;;;;;;;;;;;;;;;;;
NORD-EST;O=;Var;;;;;;;;;;;;;;;;;
NORD-EST;O-;Cot;;;;6,84;;;;6,50;;;;;;6,42;;;
NORD-EST;O-;Var;;;;-0,07;;;;-0,03;;;;;;-0,03;;;
NORD-EST;P+;Cot;;;;6,82;;;;6,46;;;;;;6,39;;;
NORD-EST;P+;Var;;;;;;;;-0,06;;;;;;-0,04;;;
NORD-EST;P=;Cot;;;;;;;;;;;;;;6,35;;;
NORD-EST;P=;Var;;;;;;;;;;;;;;-0,05;;;
NORD-EST;P-;Cot;;;;;;;;;;;;;;;;;
NORD-EST;P-;Var;;;;;;;;;;;;;;;;;
CENTRE-EST;E;Cot;;;;;;;;;;;;;;;;;
